11/02/2017 11:16:33 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:33 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:33 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:33 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:34 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:38 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     extension: Base Wind
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     output: severity
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 0 [year not available]
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:38 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:39 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:39 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:43 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:43 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:16:43 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:43 AM preworker.prepairMaps     INFO     output: Species Biomass Map: abiebals
11/02/2017 11:16:43 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:43 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:44 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:44 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:44 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:44 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:44 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:44 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:44 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:45 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:45 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:46 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:49 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:49 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:16:49 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:49 AM preworker.prepairMaps     INFO     output: Species Biomass Map: acernegu
11/02/2017 11:16:49 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:49 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:49 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:49 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:49 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:50 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:50 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:50 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:50 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:50 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:50 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:51 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:54 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     output: Species Biomass Map: acerrubr
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:16:54 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:16:55 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:16:55 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:16:55 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:16:55 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:16:55 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:16:56 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:16:59 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:16:59 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:16:59 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:16:59 AM preworker.prepairMaps     INFO     output: Species Biomass Map: acersacc
11/02/2017 11:16:59 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:16:59 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:17:00 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:17:00 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:17:00 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:17:00 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:17:00 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:17:00 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:17:00 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:17:01 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:17:01 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:17:01 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:17:05 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     output: Species Biomass Map: betualle
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:17:05 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:17:06 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:17:06 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:17:06 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:17:06 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:17:07 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:17:10 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:17:10 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:17:10 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:17:10 AM preworker.prepairMaps     INFO     output: Species Biomass Map: betupapy
11/02/2017 11:17:10 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:17:10 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:17:10 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:17:10 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:17:11 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:17:11 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:17:11 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:17:11 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:17:11 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:17:11 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:17:12 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:17:12 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:17:16 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:17:16 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:17:16 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:17:16 AM preworker.prepairMaps     INFO     output: Species Biomass Map: fraxamer
11/02/2017 11:17:16 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:17:16 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:17:16 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:17:17 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:17:17 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:17:17 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:17:17 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:17:17 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:17:17 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:17:17 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:17:17 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:17:18 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:17:21 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:17:21 AM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/02/2017 11:17:21 AM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/02/2017 11:17:21 AM preworker.prepairMaps     INFO     output: Species Biomass Map: fraxnigr
11/02/2017 11:17:21 AM preworker.prepairMaps     INFO     prepair year = 0
11/02/2017 11:17:21 AM preworker.prepairMaps     INFO     prepair year = 10
11/02/2017 11:17:21 AM preworker.prepairMaps     INFO     prepair year = 20
11/02/2017 11:17:22 AM preworker.prepairMaps     INFO     prepair year = 30
11/02/2017 11:17:22 AM preworker.prepairMaps     INFO     prepair year = 40
11/02/2017 11:17:22 AM preworker.prepairMaps     INFO     prepair year = 50
11/02/2017 11:17:22 AM preworker.prepairMaps     INFO     prepair year = 60
11/02/2017 11:17:22 AM preworker.prepairMaps     INFO     prepair year = 70
11/02/2017 11:17:22 AM preworker.prepairMaps     INFO     prepair year = 80
11/02/2017 11:17:22 AM preworker.prepairMaps     INFO     prepair year = 90
11/02/2017 11:17:22 AM preworker.prepairMaps     INFO     prepair year = 100
11/02/2017 11:17:23 AM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/02/2017 11:17:27 AM landis.tiler              DEBUG    End tiling process with multiprocessing
11/02/2017 11:17:27 AM preworker.prepairMaps     INFO     End prepairing Map Output [time: 98.6029999256 sec]
11/02/2017 11:17:27 AM output.saveMetadata       INFO     Save Metadata as JSON files
11/02/2017 11:17:27 AM output.copyWebbase        INFO     Copy webbase to output directory
11/02/2017 11:17:27 AM output.copyWebbase        ERROR    cannot copy tree '..\..\WebVisTool\build\dist': not a directory
11/02/2017 11:17:27 AM output.copyWebbase        DEBUG    <class 'distutils.errors.DistutilsFileError'>::outputworker.py::25
