11/03/2017 02:03:04 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:03:05 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:03:05 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:03:05 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:03:05 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:03:05 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:03:05 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:03:06 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:03:07 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:03:10 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:03:10 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
11/03/2017 02:03:10 PM preworker.prepairMaps     INFO     extension: Output Leaf Biomass
11/03/2017 02:03:10 PM preworker.prepairMaps     INFO     output: Species Biomass Map: fraxamer
11/03/2017 02:03:10 PM preworker.prepairMaps     INFO     prepair year = 0
11/03/2017 02:03:10 PM preworker.prepairMaps     INFO     prepair year = 10
11/03/2017 02:03:10 PM preworker.prepairMaps     INFO     prepair year = 20
11/03/2017 02:03:11 PM preworker.prepairMaps     INFO     prepair year = 30
11/03/2017 02:03:11 PM preworker.prepairMaps     INFO     prepair year = 40
11/03/2017 02:03:11 PM preworker.prepairMaps     INFO     prepair year = 50
11/03/2017 02:03:11 PM preworker.prepairMaps     INFO     prepair year = 60
11/03/2017 02:03:11 PM preworker.prepairMaps     INFO     prepair year = 70
11/03/2017 02:03:11 PM preworker.prepairMaps     INFO     prepair year = 80
11/03/2017 02:03:11 PM preworker.prepairMaps     INFO     prepair year = 90
11/03/2017 02:03:11 PM preworker.prepairMaps     INFO     prepair year = 100
11/03/2017 02:03:12 PM landis.tiler              DEBUG    Start tiling process with multiprocessing
11/03/2017 02:03:15 PM landis.tiler              DEBUG    End tiling process with multiprocessing
11/03/2017 02:03:15 PM preworker.prepairMaps     INFO     scenario: Climate Change, BaseWind
