Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
20, 192, 784, 38, 0, 0, 0, 
20, 195, 593, 9, 9, 14, 3, 
20, 196, 685, 91, 0, 0, 0, 
20, 198, 775, 1, 0, 0, 0, 
20, 202, 82, 194, 187, 54, 1, 
20, 202, 612, 29, 27, 6, 1, 
20, 202, 626, 84, 83, 201, 3, 
20, 203, 494, 25, 0, 0, 0, 
20, 205, 391, 54, 54, 652, 5, 
20, 209, 367, 63, 0, 0, 0, 
20, 210, 388, 23, 15, 8, 2, 
20, 211, 304, 8, 1, 9, 4, 
20, 213, 295, 13, 13, 65, 5, 
20, 214, 209, 289, 285, 440, 2, 
20, 214, 696, 41, 0, 0, 0, 
20, 216, 618, 21, 18, 20, 2, 
20, 217, 572, 97, 97, 95, 2, 
20, 218, 346, 23, 0, 0, 0, 
20, 218, 625, 20, 14, 8, 2, 
20, 219, 361, 1, 0, 0, 0, 
20, 219, 754, 59, 0, 0, 0, 
20, 221, 453, 87, 0, 0, 0, 
20, 222, 669, 75, 0, 0, 0, 
20, 225, 639, 5, 0, 0, 0, 
20, 225, 657, 15, 15, 123, 5, 
20, 226, 581, 2, 0, 0, 0, 
20, 229, 538, 28, 0, 0, 0, 
20, 230, 181, 569, 0, 0, 0, 
20, 230, 359, 75, 74, 44, 1, 
20, 232, 788, 75, 30, 10, 1, 
20, 233, 628, 74, 0, 0, 0, 
20, 234, 518, 59, 48, 5, 1, 
20, 234, 546, 26, 26, 67, 2, 
20, 235, 765, 18, 6, 3, 2, 
20, 236, 239, 61, 9, 4, 2, 
20, 236, 253, 45, 45, 176, 4.96, 
20, 236, 786, 115, 115, 1130, 5, 
20, 237, 617, 38, 0, 0, 0, 
20, 242, 231, 225, 57, 5, 2, 
20, 245, 247, 1, 0, 0, 0, 
20, 247, 440, 1, 0, 0, 0, 
20, 248, 320, 85, 82, 362, 4.9, 
20, 249, 675, 9, 0, 0, 0, 
20, 252, 585, 158, 0, 0, 0, 
20, 252, 640, 37, 35, 21, 2, 
20, 253, 790, 6, 6, 2, 2, 
20, 259, 549, 24, 0, 0, 0, 
20, 262, 570, 11, 0, 0, 0, 
20, 263, 662, 59, 58, 183, 3, 
20, 269, 216, 1, 0, 0, 0, 
20, 271, 579, 121, 110, 21, 1, 
20, 276, 560, 91, 91, 63, 2, 
20, 276, 569, 83, 83, 756, 5, 
20, 276, 747, 54, 0, 0, 0, 
20, 277, 392, 158, 0, 0, 0, 
20, 278, 261, 588, 0, 0, 0, 
20, 278, 800, 232, 232, 2261, 5, 
20, 279, 602, 5, 5, 34, 5, 
20, 279, 619, 43, 43, 323, 5, 
20, 281, 576, 66, 49, 51, 2, 
20, 287, 697, 29, 2, 2, 1, 
20, 288, 131, 143, 0, 0, 0, 
20, 290, 586, 84, 0, 0, 0, 
20, 293, 54, 67, 66, 106, 3, 
20, 294, 474, 1, 0, 0, 0, 
20, 295, 416, 99, 0, 0, 0, 
20, 296, 452, 53, 53, 681, 5, 
20, 296, 708, 147, 104, 797, 5, 
20, 297, 552, 5, 1, 2, 2, 
20, 297, 726, 184, 0, 0, 0, 
20, 303, 438, 49, 0, 0, 0, 
20, 304, 456, 86, 0, 0, 0, 
20, 304, 535, 54, 54, 808, 5, 
20, 305, 300, 303, 0, 0, 0, 
20, 309, 412, 68, 59, 39, 2, 
20, 310, 107, 248, 248, 92, 2, 
20, 312, 523, 231, 0, 0, 0, 
20, 314, 453, 66, 17, 5, 1, 
20, 314, 642, 12, 12, 78, 5, 
20, 315, 645, 182, 0, 0, 0, 
20, 315, 705, 25, 25, 230, 5, 
20, 316, 461, 62, 62, 21, 1, 
20, 316, 782, 174, 174, 1806, 5, 
20, 318, 622, 191, 191, 1773, 5, 
20, 323, 681, 401, 372, 149, 2, 
20, 324, 144, 29, 6, 1, 3, 
20, 330, 696, 241, 181, 5, 1, 
20, 335, 417, 634, 0, 0, 0, 
20, 339, 404, 288, 0, 0, 0, 
20, 341, 365, 490, 490, 225, 2, 
20, 341, 830, 65, 0, 0, 0, 
20, 342, 622, 10, 10, 61, 4, 
20, 344, 125, 306, 0, 0, 0, 
20, 344, 553, 144, 0, 0, 0, 
20, 345, 843, 29, 26, 11, 2, 
20, 346, 505, 35, 18, 3, 1, 
20, 346, 638, 60, 0, 0, 0, 
20, 347, 754, 108, 105, 80, 2, 
20, 349, 238, 29, 0, 0, 0, 
20, 349, 249, 294, 0, 0, 0, 
20, 350, 705, 37, 0, 0, 0, 
20, 352, 804, 95, 0, 0, 0, 
20, 358, 791, 19, 0, 0, 0, 
20, 359, 831, 56, 55, 40, 2, 
20, 362, 151, 196, 190, 135, 2, 
20, 362, 644, 72, 72, 11, 1.24, 
20, 363, 709, 90, 0, 0, 0, 
20, 365, 822, 6, 1, 1, 2, 
20, 366, 920, 159, 159, 299, 3, 
20, 369, 196, 129, 0, 0, 0, 
20, 369, 804, 10, 1, 1, 1, 
20, 371, 665, 5, 0, 0, 0, 
20, 371, 759, 11, 0, 0, 0, 
20, 372, 677, 5, 0, 0, 0, 
20, 372, 752, 116, 116, 564, 5, 
20, 373, 699, 165, 165, 874, 4.94, 
20, 373, 876, 132, 110, 23, 2, 
20, 374, 268, 232, 0, 0, 0, 
20, 377, 747, 129, 129, 1235, 5, 
20, 377, 823, 53, 0, 0, 0, 
20, 378, 412, 332, 331, 52, 1, 
20, 379, 265, 3, 0, 0, 0, 
20, 379, 292, 68, 66, 290, 5, 
20, 381, 727, 30, 30, 397, 5, 
20, 382, 923, 15, 9, 19, 2, 
20, 383, 755, 76, 0, 0, 0, 
20, 384, 289, 27, 27, 139, 5, 
20, 385, 525, 118, 0, 0, 0, 
20, 385, 674, 81, 80, 370, 5, 
20, 387, 92, 545, 0, 0, 0, 
20, 390, 849, 265, 0, 0, 0, 
20, 391, 196, 181, 139, 44, 2, 
20, 393, 193, 94, 0, 0, 0, 
20, 397, 861, 81, 0, 0, 0, 
20, 400, 597, 26, 0, 0, 0, 
